x,y,bounce
599.0,387.0,0
599.0,387.0,0
599.0,387.0,0
597.0,369.0,0
597.0,353.0,0
595.0,335.0,0
595.0,323.0,0
595.0,309.0,0
595.0,299.0,0
593.0,289.0,0
593.0,279.0,0
591.0,271.0,0
591.0,265.0,0
589.0,259.0,0
589.0,255.0,0
589.0,253.0,0
587.0,251.0,0
585.0,251.0,0
585.0,251.0,0
585.0,255.0,0
583.0,259.0,0
583.0,263.0,0
583.0,269.0,0
581.0,277.0,0
581.0,285.0,0
579.0,295.0,1
611.0,281.0,0
657.0,265.0,0
683.0,255.0,0
711.0,247.0,0
743.0,237.0,0
757.0,233.0,0
771.0,233.0,0
781.0,233.0,1
789.0,209.0,0
795.0,189.0,0
801.0,173.0,0
807.0,157.0,0
811.0,143.0,0
817.0,133.0,0
821.0,123.0,1
821.0,117.0,0
813.0,117.0,0
805.0,115.0,0
797.0,117.0,0
789.0,113.0,0
779.0,116.0,0
769.0,119.0,0
763.0,123.0,0
749.0,123.0,0
741.0,127.0,0
733.0,131.0,0
721.0,135.0,0
711.0,141.0,0
699.0,151.0,0
689.0,151.0,0
677.0,161.0,0
667.0,169.0,0
655.0,177.0,0
643.0,189.0,0
629.0,201.0,0
617.0,211.0,0
601.0,223.0,0
591.0,237.0,0
579.0,251.0,0
563.0,267.0,0
549.0,283.0,0
535.0,303.0,0
519.0,321.0,0
503.0,341.0,0
491.0,361.0,0
471.0,387.0,0
457.0,409.0,0
441.0,433.0,1
,,0
,,0
,,0
,,0
363.0,441.0,0
363.0,441.0,0
353.0,445.0,0
335.0,449.0,0
327.0,449.0,1
361.0,415.0,0
417.0,363.0,0
453.0,329.0,0
485.0,301.0,0
513.0,277.0,0
541.0,257.0,0
563.0,241.0,0
585.0,221.0,0
607.0,211.0,0
625.0,201.0,0
643.0,193.0,0
657.0,185.0,0
667.0,179.0,0
685.0,177.0,0
697.0,174.0,0
709.0,171.0,0
721.0,171.0,0
731.0,171.0,0
741.0,173.0,0
751.0,177.0,0
757.0,179.0,0
767.0,183.0,0
773.0,187.0,0
781.0,187.0,1
787.0,173.0,0
791.0,163.0,0
797.0,151.0,0
803.0,143.0,0
805.0,135.0,0
811.0,129.0,0
815.0,125.0,0
821.0,119.0,0
823.0,115.0,1
823.0,121.0,0
823.0,127.0,0
821.0,137.0,0
819.0,157.0,0
817.0,171.0,0
821.0,185.0,0
815.0,201.0,0
815.0,219.0,0
815.0,241.0,0
813.0,263.0,0
813.0,287.0,0
813.0,313.0,0
813.0,343.0,0
813.0,373.0,0
813.0,407.0,0
811.0,409.0,0
809.0,413.0,0
807.0,421.0,0
807.0,429.0,0
805.0,439.0,0
803.0,453.0,0
803.0,467.0,0
801.0,487.0,0
799.0,507.0,0
795.0,527.0,1
777.0,443.0,0
777.0,443.0,0
769.0,399.0,0
757.0,357.0,0
751.0,329.0,0
741.0,303.0,0
735.0,279.0,0
729.0,263.0,0
721.0,245.0,0
715.0,231.0,0
709.0,219.0,0
703.0,211.0,0
699.0,205.0,0
693.0,199.0,0
687.0,193.0,0
683.0,191.0,0
677.0,189.0,0
673.0,189.0,0
667.0,189.0,0
663.0,189.0,0
659.0,193.0,0
655.0,195.0,0
649.0,201.0,0
647.0,205.0,1
643.0,193.0,0
641.0,183.0,0
639.0,173.0,0
637.0,163.0,0
635.0,155.0,0
631.0,147.0,0
629.0,139.0,0
625.0,135.0,0
625.0,131.0,0
631.0,131.0,1
647.0,137.0,0
661.0,144.33333333333334,0
675.0,151.66666666666666,0
689.0,159.0,0
703.0,169.0,0
721.0,183.0,0
739.0,193.0,0
755.0,211.0,0
771.0,227.0,0
789.0,247.0,0
807.0,271.0,0
827.0,293.0,0
847.0,321.0,0
867.0,349.0,0
887.0,381.0,0
909.0,415.0,1
925.0,427.0,0
945.0,429.0,0
965.0,433.0,0
985.0,439.0,0
1005.0,445.0,0
1025.0,453.0,0
1043.0,463.0,0
1071.0,477.0,0
1093.0,493.0,0
1119.0,511.0,0
1143.0,531.0,0
1171.0,553.0,0
1205.0,575.0,0
1229.0,611.0,0
1261.0,639.0,0
1261.0,639.0,0
